Name ,Power_MV,lon,lat
Aulepa Wind Park,48,23.6079,59.06033
Esivere Wind Park,12,23.5382,58.65265
Esivere Wind Park,8,23.55468,58.62049
Pakri Wind Park,18.4,24.05216,59.36215
Ruhnu Wind Park,0.15,23.24707,57.79428
Tooma Wind Park,16,23.51486,58.62835
Vanaküla Wind Park,9,23.57391,59.14002
Viru Nigula Wind Park,24,26.75355,59.44655
Virstu II Wind Park,6.9,23.53305,58.58937
Nasva Wind Park,1.6,22.32971,58.21413
Türju Wind park,0.3,22.01797,57.97679
Sanga Wind Park,0.3,26.25732,58.29217
Läätsa Wind Park,3,22.2159,58.16599
Virtsu Wind Park ,2.6,23.50696,58.56377
Virtsu III Wind Park ,6.9,23.54009,58.56279
Nasva Wind Park,5.9,22.39528,58.21485
Torgu Wind Park,0.45,22.08629,57.9318
Aseriaru Wind Park,24,26.80522,59.4437
Narva Ashfield Wind Park,39,27.95677,59.31602
Paldiski Wind Park,45,24.07379,59.36609
Ojaküla Wind Park,6.9,26.48975,59.4878
Tamba Wind Park,6,23.69099,58.49721
Mäli Wind Park,12,23.73461,58.44946
Sikassaare Wind Park,1.5,22.51677,58.28164
Aburi Wind Park,1.8,26.28221,59.19239
Salme II Wind Park,3,22.22534,58.16452
